groupId,deletedWithGroup,id,tempId,draftId,revisionId,isProvisionalDraft,uid,siteSettingsId,fieldLayoutId,structureId,contentId,enabled,archived,siteId,title,slug,uri,dateCreated,dateUpdated,dateLastMerged,dateDeleted,root,lft,rgt,level,trashed,isNewForSite,parentId,canonicalId,isDraft,isRevision,isUnpublishedDraft,ref,status,url,categoryDescription
1,,132,,,,,6dc0ad26-a7dc-41a8-b3ee-33def08ba536,471,11,1,364,1,,1,"Manual Functional Testing",functional-testing,,2018-04-18T14:20:20-04:00,2020-05-13T12:45:34-04:00,,,4,2,3,1,,,,132,,,,,enabled,,"Discover why functional testing is the backbone to every successful testing strategy."
1,,133,,,,,a9c8f2ac-deae-4a23-a874-096b8b93ce3a,475,11,1,368,1,,1,"Automated Functional Testing",automated-testing,,2018-04-18T14:21:02-04:00,2020-05-13T12:45:51-04:00,,,4,4,5,1,,,,133,,,,,enabled,,"Test automation is critical to enhancing testing efficiency and is the next step towards an agile testing practice."
1,,134,,,,,35132258-1a49-4bee-96fa-38cb4f2b2006,479,11,1,372,1,,1,Payments,payments,,2018-04-18T14:21:51-04:00,2021-09-20T16:26:40-04:00,,,4,6,7,1,,,,134,,,,,enabled,,"Payments have become an increasingly complex testing area. See how payment types are evolving and how companies are testing for them."
1,,135,,,,,cff884e0-2ce4-445a-bfcf-2b45ed033526,483,11,1,376,1,,1,"Customer Journey Testing",omnichannel,,2018-04-18T14:22:25-04:00,2020-05-13T12:45:15-04:00,,,4,8,9,1,,,,135,,,,,enabled,,"To compete in modern day retail, companies need a seamless omnichannel experience to stay connected to their customers at every turn."
1,,136,,,,,924905e7-2466-46c1-a993-c0100aa0b087,487,11,1,380,1,,1,Accessibility,accessibility,,2018-04-18T14:27:49-04:00,2019-02-05T09:59:15-05:00,,,4,10,11,1,,,,136,,,,,enabled,,"Learn the latest in accessible design and how you can build inclusive experiences that will boost your bottom line."
1,,137,,,,,67afab9d-79bf-4e04-acca-08d799f0d749,491,11,1,384,1,,1,"User Experience Testing",usability,,2018-04-18T14:28:16-04:00,2020-05-13T12:44:57-04:00,,,4,12,13,1,,,,137,,,,,enabled,,"Build digital experiences your customers will love by staying up to date on all things usability."
1,,138,,,,,096228a4-6643-4e63-aa11-53a4ad95a7e7,495,11,1,388,1,,1,Security,security,,2018-04-18T14:29:03-04:00,2019-02-05T10:00:06-05:00,,,4,14,15,1,,,,138,,,,,enabled,,"Stay on top of the biggest news in security to ensure your digital properties aren't vulnerable to hackers."
1,,140,,,,,d5acec17-7db6-46f6-8327-8169cf7f7f4d,503,11,1,396,1,,1,Applause,applause,,2018-04-18T14:30:26-04:00,2019-02-05T10:01:40-05:00,,,4,16,17,1,,,,140,,,,,enabled,,"Keep up with the latest news, announcements, and events from the world's leader in crowd-sourced digital quality testing."
1,,6823,,,,,34c7b676-310f-4c1a-acfb-b7cdc30330f5,16855,11,1,11219,1,,1,Voice,voice,,2018-12-13T15:39:54-05:00,2019-02-05T10:03:12-05:00,,,4,18,19,1,,,,6823,,,,,enabled,,"Discover why voice testing is the backbone to every successful testing strategy."
1,,8400,,,,,95850021-6d68-4bb6-82bd-50334394fadb,20247,11,1,13556,1,,1,"Exploratory Testing",exploratory-testing,,2019-04-04T09:53:59-04:00,2019-04-04T09:53:59-04:00,,,4,20,21,1,,,,8400,,,,,enabled,,
1,,72079,,,,,efb0d5de-2b53-45c8-9d89-d5ad3f541417,157789,11,1,34199,1,,1,"AI Training & Testing",ai-training-testing,,2019-10-30T10:19:15-04:00,2019-11-06T08:36:16-05:00,,,4,22,23,1,,,,72079,,,,,enabled,,"For brands looking to deliver AI experiences that are accurate, intuitive and truly useful."
1,,370940,,,,,e15f5f02-5728-4e3b-9cfe-f339ceae70a3,594325,11,1,149255,1,,1,"Low-Code/No-Code Automation",no-code-low-code,,2020-12-03T12:23:10-05:00,2020-12-03T12:27:18-05:00,,,4,24,25,1,,,,370940,,,,,enabled,,"With LCNC, you can build automation without writing a single line of code to achieve the benefits of automated testing quicker and with less pain."
1,,370941,,,,,5bca6efb-cb62-4061-83a0-f5ab238830f2,594328,11,1,149258,1,,1,"Integrated Functional Testing",integrated-functional-testing,,2020-12-03T12:25:57-05:00,2020-12-03T12:25:57-05:00,,,4,26,27,1,,,,370941,,,,,enabled,,"Applause Integrated Functional Testing combines manual and automated testing into one cohesive solution to accelerate development velocity and improve quality."
1,,430772,,,,,2f1bcd31-74b2-4183-a5b7-165c035bef40,685203,11,1,166648,1,,1,"Roaming Testing",roaming-testing,,2021-05-07T15:29:46-04:00,2021-05-07T15:29:46-04:00,,,4,28,29,1,,,,430772,,,,,enabled,,
1,,457968,,,,,b316fc77-9f97-45b5-b602-cfd2cefa4116,731067,11,1,183056,1,,1,"Test Case Management",test-case-management,,2021-07-08T15:20:27-04:00,2021-07-08T15:20:27-04:00,,,4,30,31,1,,,,457968,,,,,enabled,,"Learn how test case management provides a strong foundation for your QA organization."
