groupId,deletedWithGroup,id,tempId,draftId,revisionId,isProvisionalDraft,uid,siteSettingsId,fieldLayoutId,structureId,contentId,enabled,archived,siteId,title,slug,uri,dateCreated,dateUpdated,dateLastMerged,dateDeleted,root,lft,rgt,level,trashed,isNewForSite,parentId,canonicalId,isDraft,isRevision,isUnpublishedDraft,ref,status,url,categoryDescription
4,,3146,,,,,f7bee145-2cd1-470c-9d3b-b87dbc107fbc,782308,92,7,214985,1,,5,Retail,retail,,2018-08-30T15:09:00-04:00,2019-01-22T10:46:50-05:00,,,85,2,3,1,,,,3146,,,,,enabled,,"Check out our retail-focused ebooks, whitepapers, and customer stories to learn why leading retail brands rely on Applause to deliver frictionless omnichannel experiences."
4,,3147,,,,,d8a1d623-2ca2-4f49-9000-ca5e3668b0d9,782309,92,7,214986,1,,5,Finance,finance,,2018-08-30T15:09:13-04:00,2019-01-22T10:46:57-05:00,,,85,4,5,1,,,,3147,,,,,enabled,,"Check out our finance-focused ebooks, whitepapers, and customer stories to learn why leading finance and insurance companies turn to Applause when they are looking to improve their omnichannel experience, validate global transactions and launch in new markets."
4,,3148,,,,,119bb743-cdaa-438b-ae87-966354dfc657,782310,92,7,214987,1,,5,Media,media,,2018-08-30T15:09:18-04:00,2019-02-19T04:29:02-05:00,,,85,6,7,1,,,,3148,,,,,enabled,,"Check out our media-focused ebooks, whitepapers, and customer stories to learn why leading media and entertainment brands rely on Applause to deliver high quality experiences across any device."
4,,3149,,,,,03a59cdd-b2c7-46aa-9e77-e3e405c82ede,782311,92,7,214988,1,,5,Travel,travel,,2018-08-30T15:09:25-04:00,2019-01-22T10:47:08-05:00,,,85,8,9,1,,,,3149,,,,,enabled,,"Check out our travel-focused ebooks, whitepapers, and customer stories to learn how Applause helps leading travel and hospitality brands deliver great guest experiences both online and on-location."
4,,3150,,,,,3c86dfc9-eef8-4695-9e63-71ba056506d6,782312,92,7,214989,1,,5,Health,health,,2018-08-30T15:09:34-04:00,2019-01-22T10:47:13-05:00,,,85,10,11,1,,,,3150,,,,,enabled,,"Check out our healthcare-focused ebooks, whitepapers, and customer stories to learn how Applause helps leading healthcare brands ensure their experiences are accurate, secure and easy to use."
4,,3151,,,,,022ddb59-d92c-4b05-803c-3c5e120658a1,782313,92,7,214990,1,,5,Fitness,fitness,,2018-08-30T15:09:53-04:00,2019-01-22T10:47:18-05:00,,,85,12,13,1,,,,3151,,,,,enabled,,"Check out our ebooks, whitepapers, and customer stories below to learn how Applause helps leading fitness brands deliver digital experiences that are intuitive and gratifying for their customers."
4,,3152,,,,,a58bc9e6-9ad9-426e-9939-9eaf80014390,782314,92,7,214991,1,,5,"Connected Devices",connected-devices,,2018-08-30T15:10:10-04:00,2019-02-19T04:31:50-05:00,,,85,14,15,1,,,,3152,,,,,enabled,,"Check out our ebooks, whitepapers, and customer stories below to learn how Applause helps connected device companies ensure their physical and digital products interact as intended in every situation."
4,,3153,,,,,1e0e0257-7b62-49b5-9906-14bf405a29da,782315,92,7,214992,1,,5,Automotive,automotive,,2018-08-30T15:10:33-04:00,2019-02-19T04:31:13-05:00,,,85,16,17,1,,,,3153,,,,,enabled,,"Check out our automotive-focused ebooks, whitepapers, and customer stories to learn why leading automotive brands rely on Applause to deliver great in in-car experiences."
4,,3154,,,,,60932818-b240-4d6d-96e7-d9ecf271dbad,782316,92,7,214993,1,,5,"Business Software",business-software,,2018-08-30T15:10:45-04:00,2019-02-19T04:30:04-05:00,,,85,18,19,1,,,,3154,,,,,enabled,,"Check out our ebooks, whitepapers, and customer stories below to learn how leading software companies rely on Applause to deliver high quality experiences across every platform."
4,,387484,,,,,4ab3af7e-6c56-4f7a-876d-d6c1e7df3c38,782318,92,7,214995,1,,5,"Food Delivery Service",food-delivery-service,,2021-02-18T03:16:11-05:00,2021-02-18T03:16:11-05:00,,,85,22,23,1,,,,387484,,,,,enabled,,"Food Delivery Service"
4,,686383,,,,,670714c1-cd5f-4e40-8544-d223fc4e46c4,1007732,92,7,325362,1,,5,"Online Gambling",online-gambling,,2021-09-20T16:27:40-04:00,2021-09-20T16:27:40-04:00,,,85,24,25,1,,,,686383,,,,,enabled,,"Provide a winning mobile sportsbook and online casino experience for bettors by testing geo-fencing, payments and customer journeys."
