groupId,deletedWithGroup,id,tempId,draftId,revisionId,isProvisionalDraft,uid,siteSettingsId,fieldLayoutId,structureId,contentId,enabled,archived,siteId,title,slug,uri,dateCreated,dateUpdated,dateLastMerged,dateDeleted,root,lft,rgt,level,trashed,isNewForSite,parentId,canonicalId,isDraft,isRevision,isUnpublishedDraft,ref,status,url,categoryDescription
4,,3146,,,,,f7bee145-2cd1-470c-9d3b-b87dbc107fbc,7721,92,7,4228,1,,2,"Retail & E-Commerce",retail-e-commerce,,2018-08-30T15:09:00-04:00,2019-01-22T10:46:50-05:00,,,85,2,3,1,,,,3146,,,,,enabled,,"Entdecke unsere Whitepaper & Ebooks im Bereich Einzelhandel und E-Commerce und lies mehr über In-Store- und Online-Erlebnisse."
4,,3147,,,,,d8a1d623-2ca2-4f49-9000-ca5e3668b0d9,7725,92,7,4232,1,,2,"Finance & Insurance",finance-insurance,,2018-08-30T15:09:13-04:00,2019-01-22T10:46:57-05:00,,,85,4,5,1,,,,3147,,,,,enabled,,"Entdecke unsere Whitepaper & Ebooks rund um das Thema Banken, Versicherungen, Finanzinstitute, Zahlungssysteme und mehr."
4,,3148,,,,,119bb743-cdaa-438b-ae87-966354dfc657,7729,92,7,4236,1,,2,"Media & Streaming",media-streaming,,2018-08-30T15:09:18-04:00,2019-02-19T04:29:02-05:00,,,85,6,7,1,,,,3148,,,,,enabled,,"Entdecke unsere Whitepaper & Ebooks für Nachrichtenportale, Streaming, Fernsehen, Filme, Musikindustrie, Veranstaltungen und Gaming."
4,,3149,,,,,03a59cdd-b2c7-46aa-9e77-e3e405c82ede,7733,92,7,4240,1,,2,Travel,travel,,2018-08-30T15:09:25-04:00,2019-01-22T10:47:08-05:00,,,85,8,9,1,,,,3149,,,,,enabled,,"Entdecke unsere Whitepaper & Ebooks für Hotels, Fluggesellschaften und Resorts."
4,,3150,,,,,3c86dfc9-eef8-4695-9e63-71ba056506d6,7737,92,7,4244,1,,2,Health,health,,2018-08-30T15:09:34-04:00,2019-01-22T10:47:13-05:00,,,85,10,11,1,,,,3150,,,,,enabled,,"Lies unsere Whitepaper & Ebooks, die speziell für den Gesundheitsbereich entwickelt wurden."
4,,3151,,,,,022ddb59-d92c-4b05-803c-3c5e120658a1,7741,92,7,4248,1,,2,Fitness-Produkte,fitness,,2018-08-30T15:09:53-04:00,2019-01-22T10:47:18-05:00,,,85,12,13,1,,,,3151,,,,,enabled,,"Lies unsere Whitepaper & Ebooks, die speziell für digitale Produkte aus dem Fitnessbereich entwickelt wurden."
4,,3152,,,,,a58bc9e6-9ad9-426e-9939-9eaf80014390,7745,92,7,4252,1,,2,"Connected Devices",connected-devices,,2018-08-30T15:10:10-04:00,2019-02-19T04:31:50-05:00,,,85,14,15,1,,,,3152,,,,,enabled,,"Entdecke weitere Ebooks & Whitepaper zu Sprachassistenten, portabler Technologie und allem, was mit dem IoT zu tun hat."
4,,3153,,,,,1e0e0257-7b62-49b5-9906-14bf405a29da,7749,92,7,4256,1,,2,Automotive,automotive,,2018-08-30T15:10:33-04:00,2019-02-19T04:31:13-05:00,,,85,16,17,1,,,,3153,,,,,enabled,,"Lies unsere E-Books und Whitepaper für digitale Produkte der Automobilindustrie."
4,,3154,,,,,60932818-b240-4d6d-96e7-d9ecf271dbad,7753,92,7,4260,1,,2,"Business Software",business-software,,2018-08-30T15:10:45-04:00,2019-02-19T04:30:04-05:00,,,85,18,19,1,,,,3154,,,,,enabled,,"Entdecke unsere Whitepaper & E-books für Unternehmens- und Produktssoftware."
4,,387484,,,,,4ab3af7e-6c56-4f7a-876d-d6c1e7df3c38,625828,92,7,156884,1,,2,"Food Delivery Service",food-delivery-service,,2021-02-18T03:16:11-05:00,2021-02-18T03:16:11-05:00,,,85,22,23,1,,,,387484,,,,,enabled,,"Food Delivery Service"
4,,686383,,,,,670714c1-cd5f-4e40-8544-d223fc4e46c4,1007730,92,7,325360,1,,2,"Online Gambling",online-gambling,,2021-09-20T16:27:40-04:00,2021-09-20T16:27:40-04:00,,,85,24,25,1,,,,686383,,,,,enabled,,"Provide a winning mobile sportsbook and online casino experience for bettors by testing geo-fencing, payments and customer journeys."
